"","OPID","lon","lat"
"1",14202142,5.1637,52.0846
"2",14202144,5.1058,52.0378
"3",14203109,5.1637,52.0846
"4",14203109,5.1637,52.0846
"5",14205064,4.8267,52.4459
"6",14210032,5.1637,52.0846
"7",14210032,5.1637,52.0846
"8",14215044,5.1228,52.0915
"9",14215106,5.1872,52.1214
"10",14219110,5.1228,52.0915
"11",14224044,5.1637,52.0846
"12",14224044,5.1637,52.0846
"13",14240079,5.3701,52.1447
"14",14301055,5.1014,52.0685
"15",14302102,5.1203,52.0996
"16",14302102,5.1203,52.0996
"17",14302102,5.1203,52.0996
"18",14303065,5.0759,52.0483
"19",14312107,5.1342,52.0905
"20",14322038,4.9517,52.3166
"21",14322038,4.9517,52.3166
"22",14340111,4.9184,52.3676
"23",14341055,5.4165,52.1747
"24",14341055,5.4165,52.1747
"25",14347057,5.3655,52.1605
"26",14347057,5.3655,52.1605
"27",14348075,4.8737,52.0891
"28",14410096,5.1032,52.1059
"29",14439019,4.8951,52.3735
"30",14442043,5.1228,52.0915
"31",14442088,5.8626,51.8463
"32",14503114,5.2546,52.0949
"33",14510038,5.1343,52.0985
"34",14510038,5.1343,52.0985
"35",14519083,5.1637,52.0846
"36",14536081,5.1032,52.1059
"37",14536081,5.1032,52.1059
"38",14540046,5.1637,52.0846
"39",14540046,5.1637,52.0846
"40",14543037,5.1058,52.0378
"41",14545052,5.1014,52.0685
"42",14545052,5.1014,52.0685
"43",14551030,5.0945,52.0947
"44",14602159,5.1756,52.109
"45",14609079,5.1092,52.0987
"46",14609079,5.1092,52.0987
"47",14609118,5.1637,52.0846
"48",14625109,5.4112,52.0552
"49",14638035,5.1637,52.0846
